Entity,Year,Cost of a healthy diet,gdp,population,Region,bmi
Niger,2020,3.6,1615.6927,23717615,Africa,4.8523
Niger,2021,4.02,1585.5992,24502145,Africa,5.08075
Niger,2022,4.48,1717.5189,25311978,Africa,5.32594
Niger,2023,4.68,1689.5642,26159863,Africa,
Nigeria,2017,2.78,5651.7344,200254580,Africa,9.02521
Nigeria,2018,2.96,5628.7407,204938752,Africa,9.35165
Nigeria,2019,3.17,5628.1777,209485637,Africa,9.69847
Nigeria,2020,3.41,5410.6934,213996185,Africa,10.0632
Nigeria,2021,3.76,5491.7,218529286,Africa,10.44192
Nigeria,2022,4.12,5552.838,223150906,Africa,10.83669
Nigeria,2023,4.39,5593.0566,227882949,North America,
North Macedonia,2017,3.29,20119.943,1940877,North America,27.09101
North Macedonia,2018,3.3,20804.775,1919730,North America,27.76966
North Macedonia,2019,3.49,21765.686,1897643,North America,28.47417
North Macedonia,2020,3.52,20970.287,1872021,North America,29.19683
North Macedonia,2021,3.84,22142.973,1851109,North America,29.92071
North Macedonia,2022,4.47,22820.977,1840236,North America,30.6488
North Macedonia,2023,4.74,23343.602,1831800,North America,
Norway,2017,3.32,87194.11,5276807,Europe,18.4957
Norway,2018,3.43,87338.47,5311751,Europe,18.73816
Norway,2019,3.53,87725.73,5347733,Europe,18.98198
Norway,2020,3.62,86096.055,5379275,Europe,19.2358
Norway,2021,3.63,88984.14,5408082,Europe,19.49927
Norway,2022,3.98,91051.086,5456796,Europe,19.76505
Norway,2023,4.33,90085.555,5519167,Europe,
Oman,2017,2.29,38691.11,4537397,Europe,26.22723
Oman,2018,2.39,38673.605,4597878,Asia,26.95943
Oman,2019,2.49,38292.387,4591248,Asia,27.7725
Oman,2020,2.48,37560.6,4522502,Asia,28.67649
Oman,2021,2.45,38719.457,4500429,Asia,29.49348
Oman,2022,2.7,39780.21,4730229,Asia,30.18688
Oman,2023,2.88,37709.066,5049267,Asia,
Pakistan,2017,2.97,5031.5605,223273974,Asia,16.35834
Pakistan,2018,2.91,5255.0635,226928893,Asia,17.40055
Pakistan,2019,2.95,5295.953,230800908,Europe,18.46998
Pakistan,2020,3.18,5135.0146,235001745,Europe,19.56702
Pakistan,2021,3.3,5367.2734,239477805,Europe,20.69342
Pakistan,2022,3.7,5526.2793,243700667,Europe,21.84745
Pakistan,2023,4.08,5439.1797,247504505,Europe,
Palestine,2017,2.53,6426.7954,4742747,Europe,30.9377
Palestine,2018,2.65,6342.9375,4850593,Europe,31.34411
Palestine,2019,2.76,6269.891,4957773,Europe,31.734
Palestine,2020,2.77,5423.6826,5069692,Africa,32.10747
Palestine,2021,2.72,5663.1216,5185341,Africa,32.46407
Palestine,2022,3.03,5753.084,5305274,Africa,32.8151
Palestine,2023,3.16,5361.131,5409201,Africa,
Panama,2017,4.19,31979.812,4098704,Africa,31.28631
Panama,2018,3.88,32681.447,4167860,Africa,32.23535
Panama,2019,3.78,33163.727,4234698,Africa,33.18132
Panama,2020,3.65,26881.799,4293258,Africa,34.1384
Panama,2021,3.63,30932.764,4345410,Africa,35.10766
Panama,2022,3.96,33833.027,4400775,Africa,36.0801
Panama,2023,4.2,35863.88,4458758,Africa,
Paraguay,2017,3.74,15320.337,6338658,Africa,27.28914
Paraguay,2018,3.73,15592.984,6427382,Africa,28.20804
Paraguay,2019,3.71,15321.324,6515059,Africa,29.14951
Paraguay,2020,3.73,14991.66,6603741,Africa,30.10996
Paraguay,2021,3.95,15406.167,6684184,Africa,31.08697
Paraguay,2022,4.47,15259.1455,6760460,Asia,32.08339
Paraguay,2023,4.71,15826.088,6844150,Asia,
Peru,2017,3.25,15069.522,31324639,Asia,22.25411
Peru,2018,3.19,15386.26,31897590,Asia,23.19111
Peru,2019,3.25,15463.543,32449302,Asia,24.14778
Peru,2020,3.34,13609.6,32838577,Asia,25.1392
Peru,2021,3.5,15280.551,33155883,Asia,26.14957
Peru,2022,3.94,15559.821,33475436,Asia,27.18473
Peru,2023,4.3,15327.582,33845616,Africa,
Philippines,2017,3.26,8584.136,108119691,Africa,7.01294
Philippines,2018,3.4,9016.286,109465284,Africa,7.3284
Philippines,2019,3.47,9452.294,110804685,Africa,7.6564
Philippines,2020,3.55,8455.185,112081270,Africa,7.99819
Philippines,2021,3.73,8857.79,113100947,Africa,8.35913
Philippines,2022,3.97,9457.104,113964343,Africa,8.73605
Philippines,2023,4.21,9898.533,114891199,Africa,
Poland,2017,2.95,34354.598,38254964,Asia,28.17818
Poland,2018,3.03,36500.41,38241070,Asia,28.91616
Poland,2019,3.25,38181.62,38225884,Asia,29.66397
Poland,2020,3.38,37852.8,38171005,Asia,30.4156
Poland,2021,3.36,41059.586,38040303,Asia,31.16302
Poland,2022,3.8,43405.023,38385734,Asia,31.41283
Poland,2023,4.04,43672.766,38762847,Asia,
Portugal,2017,2.64,37943.113,10330838,Asia,24.70543
Portugal,2018,2.73,39123.613,10325355,Europe,25.1747
Portugal,2019,2.85,40188.285,10343218,Europe,25.63292
Portugal,2020,2.87,36852.227,10370519,Europe,26.0877
Portugal,2021,2.99,38657.668,10390957,Europe,26.55605
Portugal,2022,3.51,41070.86,10417074,Europe,27.06199
Portugal,2023,3.82,41571.02,10430735,Europe,
Qatar,2017,2.32,115064.945,2706716,Europe,39.01982
Qatar,2018,2.43,114909.945,2761144,Europe,39.81867
Qatar,2019,2.45,113160.98,2797927,Oceania,40.68851
Qatar,2020,2.44,103061.914,2803375,Oceania,41.75581
Qatar,2021,2.35,116832.57,2814988,Oceania,42.89238
Qatar,2022,2.52,114740.125,2892466,Oceania,43.75553
Qatar,2023,2.58,116159.14,2979086,Oceania,
Romania,2017,2.79,32849.11,19689405,Oceania,31.33332
Romania,2018,2.84,35065.18,19597874,Oceania,32.79678
Romania,2019,3.04,36633.363,19501542,Oceania,34.25017
Romania,2020,3.17,35482.195,19392467,Central America,35.68721
Romania,2021,3.22,37730.37,19248159,Central America,37.11097
Romania,2022,3.57,39377.973,19166776,Central America,38.23628
Romania,2023,3.93,40301.5,19118482,Central America,
Russia,2017,2.25,35570.39,146186798,Central America,26.43276
Russia,2018,2.28,36536.695,146430146,Central America,26.77684
Russia,2019,2.45,37319.32,146533063,Central America,27.11705
Russia,2020,2.57,36376.336,146371295,Africa,27.45495
Russia,2021,2.77,38638.43,145836172,Africa,27.7768
Russia,2022,3.09,38214.496,145579889,Africa,28.04944
Russia,2023,3.17,39887.34,145440502,Africa,
Rwanda,2017,3.05,2351.597,12202062,Africa,3.16088
Rwanda,2018,2.89,2493.44,12488000,Africa,3.40847
Rwanda,2019,2.99,2667.4646,12776102,Africa,3.67215
Rwanda,2020,3.3,2520.3174,13065838,Africa,3.95306
Rwanda,2021,3.31,2733.4355,13355260,Africa,4.25166
Rwanda,2022,3.87,2892.4597,13651025,Africa,4.56908
Rwanda,2023,4.59,3062.999,13954473,Africa,
Saint Kitts and Nevis,2017,3.37,29948.92,47075,Africa,42.82592
Saint Kitts and Nevis,2018,3.51,30576.248,47032,Africa,43.58385
Saint Kitts and Nevis,2019,3.65,31512.193,46976,Africa,44.34437
Saint Kitts and Nevis,2020,3.81,26736.928,46896,Africa,45.10648
Saint Kitts and Nevis,2021,3.95,26896.617,46786,Africa,45.86787
Saint Kitts and Nevis,2022,4.59,29712.686,46732,Europe,46.61522
Saint Kitts and Nevis,2023,4.84,30966.332,46783,Europe,
Saint Lucia,2017,3.6,22422.598,176352,Europe,29.78383
Saint Lucia,2018,3.8,22981.918,177032,Europe,30.57369
Saint Lucia,2019,4.03,22738.248,177675,Europe,31.38012
Saint Lucia,2020,4.41,17142.045,178261,Europe,32.20626
Saint Lucia,2021,4.57,19101.166,178540,Europe,33.0611
Saint Lucia,2022,4.9,22962.281,178794,Europe,33.93452
Saint Lucia,2023,5.22,23403.744,179291,Europe,
Saint Vincent and the Grenadines,2017,4.3,15533.222,105674,Europe,29.88657
Saint Vincent and the Grenadines,2018,4.44,16139.066,104939,Europe,30.59861
Saint Vincent and the Grenadines,2019,4.48,16365.325,104183,Europe,31.32182
Saint Vincent and the Grenadines,2020,4.65,15763.705,103540,Europe,32.05409
Saint Vincent and the Grenadines,2021,4.87,16200.899,102848,Europe,32.80342
Saint Vincent and the Grenadines,2022,5.48,16835.023,102063,Europe,33.56653
Saint Vincent and the Grenadines,2023,6.03,17858.244,101331,Europe,
Sao Tome and Principe,2017,2.31,5521.2026,206986,Asia,12.50113
Sao Tome and Principe,2018,2.63,5674.7236,210198,Asia,13.00792
Sao Tome and Principe,2019,2.98,5702.0835,213405,Asia,13.52654
Sao Tome and Principe,2020,3.29,5742.9473,217450,Asia,14.03
Sao Tome and Principe,2021,3.8,5732.6943,221975,Asia,14.52803
Sao Tome and Principe,2022,4.17,5632.1387,226313,Asia,15.03851
Sao Tome and Principe,2023,4.43,5541.302,230882,Asia,
Saudi Arabia,2017,2.46,57942.547,30782400,Asia,37.85023
Saudi Arabia,2018,2.46,61359.465,30365119,Asia,38.30225
Saudi Arabia,2019,2.48,62647.715,30472809,Asia,38.7484
Saudi Arabia,2020,2.43,57420.734,30991206,Asia,39.46707
Saudi Arabia,2021,2.62,62690.496,31328374,Asia,40.358
Saudi Arabia,2022,2.87,67178.59,32175351,Asia,41.1081
Saudi Arabia,2023,2.96,64481.844,33264289,Asia,
Senegal,2017,2.65,3871.4514,15475001,Asia,7.34309
Senegal,2018,2.72,3998.2864,15914495,Asia,7.58629
Senegal,2019,2.79,4070.6123,16352926,Asia,7.84299
Senegal,2020,2.88,4018.0413,16789217,Asia,8.11252
Senegal,2021,3.04,4173.6772,17220866,Asia,8.39039
Senegal,2022,3.44,4228.734,17651099,Asia,8.68215
Senegal,2023,3.63,4304.7617,18077573,Asia,
Serbia,2017,3.56,19437.904,7073507,Asia,23.39587
Serbia,2018,3.64,20453.082,7020014,Asia,23.88757
Serbia,2019,3.84,21539.922,6966155,Asia,24.4088
Serbia,2020,3.86,21477.877,6907814,Central America,24.94657
Serbia,2021,4.01,23404.998,6835429,Central America,25.49247
Serbia,2022,4.63,24633.07,6791215,Central America,26.05491
Serbia,2023,5.19,25740.203,6773204,Central America,
Seychelles,2017,3.53,31595.668,112443,Central America,27.48618
Seychelles,2018,3.5,32841.426,115053,Central America,28.00323
Seychelles,2019,3.53,34346.07,117662,Central America,28.54433
Seychelles,2020,3.46,30056.2,120299,Central America,29.10129
Seychelles,2021,3.79,29979.828,123000,South America,29.67629
Seychelles,2022,4.05,27978.178,125533,South America,30.26695
Seychelles,2023,4.22,28635.355,127961,South America,
Sierra Leone,2017,2.64,2755.9043,7379300,South America,5.73562
Sierra Leone,2018,2.8,2769.8696,7554568,South America,5.85972
Sierra Leone,2019,2.76,2855.229,7731994,South America,5.99645
Sierra Leone,2020,2.83,2755.1025,7912557,South America,6.1459
Sierra Leone,2021,3.08,2851.9521,8094603,South America,6.30555
Sierra Leone,2022,3.39,2937.3735,8276809,South America,6.47527
Sierra Leone,2023,3.74,3037.6765,8460523,South America,
Singapore,2017,2.78,116471.82,5604087,South America,10.59605
Singapore,2018,2.86,119927.766,5634366,South America,11.13614
Singapore,2019,2.92,120114.13,5669562,South America,11.69943
Singapore,2020,3.0,115893.04,5620151,South America,12.28996
Singapore,2021,3.09,132617.36,5546291,South America,12.90418
Singapore,2022,3.31,133571.97,5649888,South America,13.53592
Singapore,2023,3.46,129555.24,5789092,Asia,
Sint Maarten (Dutch part),2017,4.43,46088.36,39012,Asia,
Sint Maarten (Dutch part),2018,4.58,42154.1,39736,Asia,
Sint Maarten (Dutch part),2019,4.67,45996.793,40410,Asia,
Sint Maarten (Dutch part),2020,4.78,39265.76,41027,Asia,
Sint Maarten (Dutch part),2021,4.82,40507.066,41593,Asia,
Sint Maarten (Dutch part),2022,4.93,43877.25,42163,Asia,
Sint Maarten (Dutch part),2023,5.06,44894.695,42775,Asia,
Slovakia,2017,2.46,35042.72,5435702,Europe,26.58054
Slovakia,2018,2.53,36415.723,5443229,Europe,27.39027
Slovakia,2019,2.69,37194.137,5450627,Europe,28.20953
Slovakia,2020,2.89,36201.414,5455028,Europe,29.03329
Slovakia,2021,3.01,38346.094,5442766,Europe,29.85681
Slovakia,2022,3.54,38623.67,5473195,Europe,30.28089
Slovakia,2023,4.14,39497.535,5518057,Europe,
Slovenia,2017,2.6,41703.305,2062410,Europe,19.86365
Slovenia,2018,2.7,43371.98,2069484,Europe,20.25425
Slovenia,2019,2.85,44580.777,2083438,Europe,20.67782
Slovenia,2020,2.98,42474.227,2102421,Europe,21.14687
Slovenia,2021,3.01,45914.06,2113495,Europe,21.65935
Slovenia,2022,3.42,47064.152,2115231,Europe,22.20498
Slovenia,2023,3.72,47868.387,2118394,Europe,
Somalia,2017,3.61,1527.1122,14916630,Europe,10.24997
Somalia,2018,3.88,1504.4391,15452489,Europe,10.70275
Somalia,2019,3.98,1491.1075,16030969,Asia,11.17756
Somalia,2020,3.93,1396.0535,16651200,Asia,11.66618
Somalia,2021,4.08,1392.4642,17271435,Asia,12.16913
Somalia,2022,4.65,1387.8137,17801895,Asia,12.69808
Somalia,2023,4.65,1402.47,18358622,Asia,
South Africa,2017,3.0,14591.437,57635158,Asia,28.02176
South Africa,2018,2.94,14571.376,58613001,Asia,28.43469
South Africa,2019,2.94,14370.238,59587880,Asia,28.84686
South Africa,2020,3.0,13266.786,60562374,Europe,29.2544
South Africa,2021,3.14,13711.294,61502602,Europe,29.65177
South Africa,2022,3.46,13777.192,62378417,Europe,30.03376
South Africa,2023,3.76,13690.39,63212386,Europe,
South Korea,2017,4.73,44787.65,51486268,Europe,5.19567
South Korea,2018,4.92,45890.43,51640894,Europe,5.46886
South Korea,2019,4.9,46757.26,51767844,Europe,5.75904
South Korea,2020,5.18,46361.598,51858481,Europe,6.06794
South Korea,2021,5.55,48419.645,51848401,Europe/Asia,6.39314
South Korea,2022,6.05,49777.93,51782515,Europe/Asia,6.73334
South Korea,2023,6.39,50414.207,51748744,Europe/Asia,
Spain,2017,2.53,45446.25,46868594,Europe/Asia,20.55954
Spain,2018,2.57,46325.21,47092817,Europe/Asia,20.26958
Spain,2019,2.71,46896.418,47435121,Europe/Asia,19.96951
Spain,2020,2.75,41553.45,47679482,Europe/Asia,19.68164
Spain,2021,2.94,44251.664,47735670,Europe/Asia,19.40798
Spain,2022,3.4,46649.562,47828386,Africa,19.16706
Spain,2023,3.83,47341.17,47911583,Africa,
Sri Lanka,2017,3.86,14572.485,22087525,Africa,7.97149
Sri Lanka,2018,3.81,14759.825,22253116,Africa,8.46438
Sri Lanka,2019,3.7,14637.444,22410552,Africa,8.97363
Sri Lanka,2020,3.66,13886.651,22561808,Africa,9.49996
Sri Lanka,2021,4.27,14316.135,22700377,Africa,10.0449
Sri Lanka,2022,4.87,13249.065,22834965,Africa,10.60543
Sri Lanka,2023,4.89,13024.94,22971615,Caribbean,
Sudan,2017,2.59,4061.0183,42714311,Caribbean,12.35042
Sudan,2018,2.77,3816.66,44230597,Caribbean,12.90614
Sudan,2019,2.87,3625.5232,45548179,Caribbean,13.503
Sudan,2020,2.86,3401.2498,46789237,Caribbean,14.13712
Sudan,2021,3.03,3248.9756,48066930,Caribbean,14.80176
Sudan,2022,2.75,3132.0771,49383344,Caribbean,15.49623
Sudan,2023,2.94,2181.079,50042800,Caribbean,
Suriname,2017,4.4,22070.514,593720,Caribbean,25.73275
Suriname,2018,4.33,22938.535,599519,Caribbean,26.36193
Suriname,2019,4.67,22966.74,605779,Caribbean,26.99139
Suriname,2020,4.94,19091.361,612320,Caribbean,27.63182
Suriname,2021,5.44,18458.234,617905,Caribbean,28.29558
Suriname,2022,5.88,18742.588,623172,Caribbean,28.98193
Suriname,2023,6.4,19043.705,628892,Caribbean,
Sweden,2017,2.71,59883.668,10057864,Caribbean,16.00645
Sweden,2018,2.77,60318.46,10175400,Caribbean,16.07548
Sweden,2019,2.91,61232.484,10279120,Caribbean,16.14687
Sweden,2020,3.0,59572.477,10353682,Caribbean,16.22679
Sweden,2021,3.06,62731.7,10416134,Caribbean,16.31432
Sweden,2022,3.5,63215.438,10487335,Caribbean,16.4103
Sweden,2023,3.83,62845.484,10551493,Caribbean,
Switzerland,2017,2.39,77626.91,8453630,Caribbean,13.41364
Switzerland,2018,2.45,79261.36,8516341,Caribbean,13.46228
Switzerland,2019,2.55,79596.7,8577525,Africa,13.5137
Switzerland,2020,2.59,77324.89,8640582,Africa,13.56942
Switzerland,2021,2.63,81001.414,8707019,Africa,13.64625
Switzerland,2022,2.85,82777.3,8792180,Africa,13.74016
Switzerland,2023,3.01,82302.05,8870564,Africa,
Syria,2017,2.5,4977.792,19224671,Africa,30.46027
Syria,2018,2.55,4956.093,19577849,Africa,30.67682
Syria,2019,2.61,4825.4062,20353536,Africa,30.71288
Syria,2020,3.91,4633.3496,21049431,Asia,30.83128
Syria,2021,5.01,4592.8384,21628837,Asia,31.02562
Syria,2022,5.4,4454.8535,22462170,Asia,31.17818
Syria,2023,5.61,4189.8374,23594623,Asia,
Tajikistan,2017,2.99,3312.712,9085942,Asia,17.19466
Tajikistan,2018,2.99,3479.6924,9307345,Asia,17.88645
Tajikistan,2019,3.17,3649.8838,9529970,Asia,18.59565
Tajikistan,2020,3.43,3724.749,9749312,Asia,19.31249
Tajikistan,2021,3.53,3985.9126,9966912,Africa,20.04547
Tajikistan,2022,3.68,4213.7563,10182228,Africa,20.80941
Tajikistan,2023,3.68,4472.324,10389807,Africa,
Tanzania,2017,2.14,3319.3767,55652888,Africa,8.72751
Tanzania,2018,2.3,3392.6887,57437134,Africa,9.21477
Tanzania,2019,2.45,3484.6326,59174889,Africa,9.72141
Tanzania,2020,2.64,3449.8215,60972803,Africa,10.25206
Tanzania,2021,2.79,3493.083,62830410,Africa,10.80856
Tanzania,2022,3.1,3546.981,64711822,Europe,11.39353
Tanzania,2023,3.32,3620.7935,66617607,Europe,
Thailand,2017,4.27,20094.678,71160183,Europe,12.15475
Thailand,2018,4.34,20879.902,71376081,Europe,12.60619
Thailand,2019,4.5,21277.84,71522264,Europe,13.06406
Thailand,2020,4.65,19957.258,71641484,Europe,13.53404
Thailand,2021,4.75,20242.77,71727338,Europe,14.01727
Thailand,2022,5.17,20762.795,71735321,Europe,14.50924
Thailand,2023,5.46,21191.453,71702436,Africa,
Togo,2017,2.54,2389.2124,8057138,Africa,8.04478
Togo,2018,2.6,2442.647,8258782,Africa,8.47613
Togo,2019,2.66,2501.0308,8463070,Africa,8.93324
Togo,2020,2.81,2490.053,8669721,Africa,9.41633
Togo,2021,3.12,2577.202,8878382,Africa,9.92236
Togo,2022,3.5,2662.2593,9089742,Africa,10.44978
Togo,2023,3.58,2767.5166,9304346,Africa,
Trinidad and Tobago,2017,3.72,34153.883,1445265,Africa,27.18021
Trinidad and Tobago,2018,3.87,33753.594,1470522,Africa,27.51743
Trinidad and Tobago,2019,3.93,33793.707,1484898,Africa,27.89324
Trinidad and Tobago,2020,4.11,30723.404,1481026,Africa,28.33544
Trinidad and Tobago,2021,4.43,30424.664,1487715,Africa,28.73922
Trinidad and Tobago,2022,4.98,30793.4,1495923,Africa,29.15095
Trinidad and Tobago,2023,5.35,31193.916,1502938,Africa,
Tunisia,2017,3.66,12953.523,11650504,Africa,24.89414
Tunisia,2018,3.72,13163.591,11765515,Asia,25.57657
Tunisia,2019,3.79,13249.224,11875084,Asia,26.25088
Tunisia,2020,3.81,11955.566,11974058,Asia,26.92617
Tunisia,2021,3.97,12444.326,12048625,Asia,27.59794
Tunisia,2022,4.38,12702.453,12119338,Asia,28.264
Tunisia,2023,4.77,12622.96,12200434,Asia,
Turkey,2017,3.45,27851.982,83083667,Asia,31.2609
Turkey,2018,3.59,28305.46,84415966,Asia,31.86981
Turkey,2019,3.88,28132.053,85357670,,32.47944
Turkey,2020,3.73,28378.553,86091691,,33.069
Turkey,2021,3.81,31338.266,86686254,,33.64245
Turkey,2022,4.44,32748.318,87058469,,34.25613
Turkey,2023,4.65,34282.535,87270502,,
Turks and Caicos Islands,2017,2.8,16498.691,39931,,
Turks and Caicos Islands,2018,2.91,30286.12,41580,,
Turks and Caicos Islands,2019,2.99,30611.213,43191,,
Turks and Caicos Islands,2020,3.13,19702.537,44405,Europe,
Turks and Caicos Islands,2021,3.27,25056.488,45262,Europe,
Turks and Caicos Islands,2022,3.63,28209.625,45869,Europe,
Turks and Caicos Islands,2023,3.88,31839.371,46221,Europe,
Uganda,2017,3.12,2543.8477,40177384,Europe,4.78315
Uganda,2018,3.03,2613.88,41565839,Europe,5.12728
Uganda,2019,2.93,2689.4102,42999636,Europe,5.5056
Uganda,2020,2.9,2678.009,44457148,Europe,5.92244
Uganda,2021,2.95,2684.9204,45910931,Europe,6.38127
Uganda,2022,3.36,2724.906,47312718,Europe,6.88494
Uganda,2023,3.68,2791.0557,48656606,Europe,
United Arab Emirates,2017,2.46,68871.85,9234330,Europe,29.71277
United Arab Emirates,2018,2.74,68854.97,9346870,Europe,30.0836
United Arab Emirates,2019,2.87,68887.84,9377855,Europe,30.43723
United Arab Emirates,2020,2.85,65784.68,9448529,Europe,30.82811
United Arab Emirates,2021,2.66,67401.125,9789055,Europe,31.25144
United Arab Emirates,2022,2.93,68867.83,10242085,Africa,31.54617
United Arab Emirates,2023,3.11,68577.54,10642089,Africa,
United Kingdom,2017,1.7,51601.14,66354473,Africa,27.40171
United Kingdom,2018,1.75,52071.27,66752473,Africa,27.6555
United Kingdom,2019,1.83,52645.543,67110958,Africa,27.90822
United Kingdom,2020,1.86,47144.723,67351860,Africa,28.16976
United Kingdom,2021,1.9,51004.426,67668788,Africa,28.43704
United Kingdom,2022,2.21,52982.176,68179315,Africa,28.70708
United Kingdom,2023,2.5,52502.914,68682965,Africa,
United States,2017,2.17,66155.555,332204657,Africa,40.24966
United States,2018,2.18,67719.766,335056492,Africa,40.78046
United States,2019,2.2,69112.6,337790069,Africa,41.30959
United States,2020,2.28,67342.07,339436156,Africa,41.84385
United States,2021,2.36,71307.4,340161438,Africa,42.36097
United States,2022,2.63,72679.26,341534041,Africa,42.86787
United States,2023,2.76,74158.72,343477330,Africa,
Uruguay,2017,2.78,29762.434,3388444,Asia,30.20801
Uruguay,2018,2.93,29757.94,3394538,Asia,31.06208
Uruguay,2019,3.08,30010.574,3397206,Asia,31.93985
Uruguay,2020,3.45,27788.186,3398966,Asia,32.83513
Uruguay,2021,3.65,29431.885,3396693,Asia,33.74313
Uruguay,2022,4.01,30804.703,3390913,Asia,34.66752
Uruguay,2023,4.29,31059.254,3388083,Asia,
Uzbekistan,2017,4.11,8047.0537,31819172,Europe,23.00886
Uzbekistan,2018,4.07,8348.961,32373489,Europe,24.07068
Uzbekistan,2019,4.0,8755.126,32964700,Europe,25.16017
Uzbekistan,2020,3.97,8727.411,33586373,Europe,26.2659
Uzbekistan,2021,4.06,9247.644,34243696,Europe,27.38298
Uzbekistan,2022,4.52,9607.562,34938953,Europe,28.51616
Uzbekistan,2023,4.78,10007.686,35652311,Europe,
Vietnam,2017,3.27,10290.549,95176978,Europe,1.32914
Vietnam,2018,3.33,10936.894,96237319,Asia,1.45889
Vietnam,2019,3.47,11628.614,97173778,Asia,1.59831
Vietnam,2020,3.79,11851.396,98079196,Asia,1.74839
Vietnam,2021,3.88,12048.902,98935101,Asia,1.90933
Vietnam,2022,4.17,12979.764,99680656,Asia,2.0817
Vietnam,2023,4.34,13545.935,100352189,Asia,
Zambia,2017,2.73,3612.5059,17441328,Africa,7.10811
Zambia,2018,2.79,3646.9597,17973574,Africa,7.52446
Zambia,2019,2.88,3591.5642,18513839,Africa,7.96285
Zambia,2020,2.96,3391.5955,19059394,South America,8.42463
Zambia,2021,3.28,3503.035,19603610,South America,8.90834
Zambia,2022,3.61,3585.1238,20152935,South America,9.4169
Zambia,2023,3.81,3673.4841,20723967,South America,
Zimbabwe,2017,3.54,3453.5059,14812484,South America,10.27429
